sigma,0.01,0.03,0.1,0.3,1,3,10,30
C,   ,  ,  ,  ,  ,  ,  ,  
0.01,0.49763033,0.49763033,0.50236967,0.49763033,0.81990521,0.8056872,0.50236967,0.49763033
0.03,0.50236967,0.49763033,0.49763033,0.86729858,0.50236967,0.50236967,0.49763033,0.50236967
0.1,0.50236967,0.49763033,0.9478673,0.86255924,0.83886256,0.82464455,0.50236967,0.50236967
0.3,0.50236967,0.97630332,0.9478673,0.90521327,0.87203791,0.71563981,0.81042654,0.49763033
1,1,0.99526066,0.9478673,0.93364929,0.90521327,0.84834123,0.78672986,0.50236967
3,1,1,0.94312796,0.94312796,0.92890995,0.87203791,0.80094787,0.50236967
10,1,1,0.96208531,0.93838863,0.91943128,0.90047393,0.84834123,0.50236967
30,1,1,0.9478673,0.94312796,0.91943128,0.91469194,0.8436019,0.81990521
